"UTC","Year","Mo","Da","Ho","Mi","Se","LatDef","LonDef","MwDef",""
"1981-1-1T23:9:24.18","1981","01","01","23","09","24","39.868","13.585","4.36",""
"1981-1-8T16:36:0","1981","01","08","16","36","00","37.808","15.074","3.19",""
"1981-1-9T0:12:49","1981","01","09","00","12","49","40.699","15.636","4.36",""
"1981-1-15T11:12:42.56","1981","01","15","11","12","43","40.806","15.507","4.35",""
"1981-1-16T0:37:45.43","1981","01","16","00","37","45","40.890","15.439","5.22",""
"1981-1-16T4:36:51.04","1981","01","16","04","36","51","40.846","15.303","4.10",""
"1981-1-16T6:31:24.79","1981","01","16","06","31","25","40.899","15.339","3.95",""
"1981-1-17T3:3:59.93","1981","01","17","03","03","60","40.749","15.347","4.15",""
"1981-1-20T8:55:5.82","1981","01","20","08","55","06","40.703","15.326","4.10",""
"1981-2-14T17:27:45","1981","02","14","17","27","45","40.992","14.620","4.88",""
"1981-2-18T19:52:52.82","1981","02","18","19","52","53","37.775","14.763","4.36",""
"1981-3-28T11:1:26","1981","03","28","11","01","26","40.701","15.560","4.11",""
"1981-4-5T10:12:46.99","1981","04","05","10","12","47","38.322","15.010","4.32",""
"1981-4-22T4:26:20.43","1981","04","22","04","26","20","43.373","8.251","4.43",""
"1981-4-30T12:32:0","1981","04","30","12","32","00","37.660","15.198","3.96",""
"1981-5-1T11:12:10.88","1981","05","01","11","12","11","40.635","15.430","4.05",""
"1981-5-10T2:44:42.1","1981","05","10","02","44","42","39.559","15.349","4.57",""
"1981-5-26T9:27:56","1981","05","26","09","27","56","44.655","10.434","3.75",""
"1981-6-7T13:0:57.09","1981","06","07","13","00","57","37.674","12.477","4.93",""
"1981-6-13T5:54:7.67","1981","06","13","05","54","08","37.087","12.451","4.46",""
"1981-6-19T16:51:27.91","1981","06","19","16","51","28","38.076","16.740","4.31",""
"1981-6-22T9:36:17.48","1981","06","22","09","36","17","38.439","14.100","4.77",""
"1981-7-3T13:5:0","1981","07","03","13","05","00","37.666","15.137","2.91",""
"1981-7-7T21:38:0","1981","07","07","21","38","00","37.693","15.144","3.73",""
